figure_id,aggregation_scale,aggregation_unit,curve_type,mechanism,alpha_clock,alpha_response,alpha_sum,clock_characteristic_time,response_characteristic_time,normalized_correlation,software_version
F3,0.03686945064519575,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0182102388996378,1.0.0
F3,0.03831186849557287,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.01891362628576365,1.0.0
F3,0.039810717055349734,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.019643817856915935,1.0.0
F3,0.04136820402388507,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.020401806163924285,1.0.0
F3,0.042986623470822764,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.021188618218194177,1.0.0
F3,0.0446683592150963,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.02200531650378068,1.0.0
F3,0.046415888336127795,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.022853000003739243,1.0.0
F3,0.04823178482239307,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.02373280523947563,1.0.0
F3,0.05011872336272722,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0246459073216293,1.0.0
F3,0.052079483285954624,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.025593521010846,1.0.0
F3,0.054116952654646375,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.026576901786577456,1.0.0
F3,0.056234132519034905,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.027597346921830246,1.0.0
F3,0.05843414133735175,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0286561965615465,1.0.0
F3,0.060720219569098836,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.029754834802033114,1.0.0
F3,0.06309573444801933,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.030894690768586974,1.0.0
F3,0.06556418494179789,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.032077239688160675,1.0.0
F3,0.06812920690579612,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.03330400395359234,1.0.0
F3,0.07079457843841377,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.03457655417558336,1.0.0
F3,0.07356422544596414,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.035896510218241584,1.0.0
F3,0.07644222742526002,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.037265542213612446,1.0.0
F3,0.07943282347242814,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.03868537155020979,1.0.0
F3,0.08254041852680186,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0401577718301086,1.0.0
F3,0.08576958985908942,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.041684569788693615,1.0.0
F3,0.08912509381337455,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.04326764617066037,1.0.0
F3,0.09261187281287933,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.04490893655532402,1.0.0
F3,0.09623506263980887,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.046610432123747936,1.0.0
F3,0.1,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.04837418035959573,1.0.0
F3,0.10391223038351691,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.050202285675000846,1.0.0
F3,0.10797751623277094,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.05209690995208338,1.0.0
F3,0.1122018454301963,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.054060272990063774,1.0.0
F3,0.11659144011798311,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.05609465284719972,1.0.0
F3,0.12115276586285889,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.05820238606602568,1.0.0
F3,0.12589254117941676,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.06038586776959043,1.0.0
F3,0.13081774742601943,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.06264755161558022,1.0.0
F3,0.13593563908785256,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.06498994959437454,1.0.0
F3,0.1412537544622754,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.06741563165621522,1.0.0
F3,0.1467799267622069,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.06992722515178607,1.0.0
F3,0.15252229565390182,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.07252741406958418,1.0.0
F3,0.1584893192461114,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.07521893805254476,1.0.0
F3,0.1646897865482869,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.07800459117543979,1.0.0
F3,0.1711328304161781,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.08088722046363184,1.0.0
F3,0.1778279410038923,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.08386972413281457,1.0.0
F3,0.18478497974222907,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.08695504952844357,1.0.0
F3,0.1920141938638801,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.09014619074263674,1.0.0
F3,0.19952623149688786,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.09344618588543296,1.0.0
F3,0.2073321573485954,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.09685811398644695,1.0.0
F3,0.21544346900318845,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.10038509150214858,1.0.0
F3,0.223872113856834,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.1040302684032629,1.0.0
F3,0.23263050671536262,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.10779682381613076,1.0.0
F3,0.24173154808041036,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.11168796119130975,1.0.0
F3,0.25118864315095796,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.1157069029722656,1.0.0
F3,0.2610157215682536,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.11985688473670619,1.0.0
F3,0.2712272579332027,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.12414114878298577,1.0.0
F3,0.2818382931264455,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.12856293713407485,1.0.0
F3,0.29286445646252374,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.1331254839318743,1.0.0
F3,0.3043219887107722,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.13783200719520272,1.0.0
F3,0.31622776601683794,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.14268569991561086,1.0.0
F3,0.3285993247600654,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.1476897204663249,1.0.0
F3,0.34145488738336005,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.1528471823011468,1.0.0
F3,0.3548133892335753,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.15816114292204042,1.0.0
F3,0.36869450645195734,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.16363459209650233,1.0.0
F3,0.38311868495572887,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.1692704393086566,1.0.0
F3,0.3981071705534973,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.17507150043139486,1.0.0
F3,0.4136820402388507,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.1810404836108418,1.0.0
F3,0.42986623470822766,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.18717997435900813,1.0.0
F3,0.44668359215096304,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.19349241985574972,1.0.0
F3,0.46415888336127775,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.19998011246712266,1.0.0
F3,0.4823178482239304,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.20664517249395264,1.0.0
F3,0.5011872336272725,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.2134895301719668,1.0.0
F3,0.5207948328595465,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.2205149069531953,1.0.0
F3,0.5411695265464638,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.2277227961075753,1.0.0
F3,0.5623413251903491,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.23511444269379167,1.0.0
F3,0.5843414133735175,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.24269082295939237,1.0.0
