figure_id,panel,scenario,selector_resolution_ratio_sqrt_epsilon_over_dx,epsilon,lattice_spacing,alignment_offset_cells,requested_domain_halfwidth,realised_domain_halfwidth,grid_nodes,moment_ratio,effective_response_rate,aggregation_scale,mechanism,normalized_correlation,lower_envelope,upper_envelope,software_version
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,1.0391223038351691,coupling,0.3780953852540082,0.32218184923360693,0.3780953852540082,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,1.0797751623277094,coupling,0.3884577688564296,0.3316399931189309,0.3884577688564296,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,1.122018454301963,coupling,0.39895986609159884,0.3412684917029333,0.39895986609159884,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,1.165914401179831,coupling,0.4095943669991393,0.3510632513603198,0.4095943669991393,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,1.2115276586285888,coupling,0.4203533766356461,0.36101963743350596,0.4203533766356461,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,1.2589254117941675,coupling,0.43122841775322707,0.3711324605304853,0.43122841775322707,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,1.3081774742601942,coupling,0.44221043735631227,0.38139596500543405,0.44221043735631227,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,1.3593563908785256,coupling,0.4532898174121037,0.3918038199172664,0.4532898174121037,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,1.412537544622754,coupling,0.46445638996952343,0.40234911276737806,0.46445638996952343,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,1.467799267622069,coupling,0.4756994569145737,0.41302434632042495,0.4756994569145737,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,1.5252229565390183,coupling,0.48700781455627185,0.4238214388106939,0.48700781455627173,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,1.584893192461114,coupling,0.49836978319642966,0.43473172783081393,0.49836978319642966,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,1.6468978654828688,coupling,0.5097732417883298,0.4457459781887214,0.5097732417883298,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,1.711328304161781,coupling,0.5212056677337433,0.4568543940023616,0.5212056677337433,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,1.7782794100389228,coupling,0.5326541818048475,0.468046635279071,0.5326541818048475,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,1.8478497974222907,coupling,0.5441055981077745,0.4793118391975211,0.5441055981077745,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,1.920141938638801,coupling,0.5555464789282512,0.4906386462740808,0.555546478928251,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,1.9952623149688788,coupling,0.5669631942178965,0.5020152315522459,0.5669631942178965,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,2.073321573485954,coupling,0.578341985393255,0.5134293409031897,0.578341985393255,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,2.1544346900318843,coupling,0.5896690330298868,0.5248683324675367,0.5896690330298868,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,2.23872113856834,coupling,0.6009305279424364,0.5363192232033076,0.6009305279424364,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,2.3263050671536263,coupling,0.6121127450504412,0.547768740433025,0.6121127450504412,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,2.4173154808041035,coupling,0.6232021193408613,0.5592033782047998,0.6232021193408613,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,2.5118864315095797,coupling,0.6341853231543388,0.570609458198728,0.6341853231543388,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,2.610157215682536,coupling,0.645049343945574,0.5819731948222368,0.645049343945574,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,2.712272579332027,coupling,0.6557815616016738,0.5932807640475442,0.6557815616016738,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,2.818382931264452,coupling,0.6663698243486582,0.6045183754528582,0.6663698243486582,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,2.9286445646252375,coupling,0.6768025222382381,0.6156723468382921,0.6768025222382381,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,3.043219887107722,coupling,0.6870686571871245,0.626729180699962,0.6870686571871245,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,3.1622776601683795,coupling,0.6971579085418442,0.6376756417638336,0.6971579085418442,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,3.285993247600654,coupling,0.7070606931652865,0.6484988347071717,0.7070606931652865,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,3.4145488738336005,coupling,0.7167682190885005,0.6591862811327475,0.7167682190885005,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,3.5481338923357533,coupling,0.7262725318434002,0.669725994811978,0.7262725318434002,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,3.6869450645195734,coupling,0.7355665526891382,0.6801065541806576,0.7355665526891382,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,3.831186849557289,coupling,0.7446441080662156,0.6903171710574256,0.7446441080662156,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,3.981071705534973,coupling,0.7534999497562151,0.7003477545628525,0.7534999497562151,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,4.136820402388507,coupling,0.7621297653887515,0.7101889692478396,0.7621297653887515,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,4.298662347082277,coupling,0.7705301791171975,0.719832286495206,0.7705301791171975,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,4.46683592150963,coupling,0.7786987424764674,0.7292700283385023,0.7786987424764674,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,4.6415888336127775,coupling,0.7866339156342774,0.7384954029470598,0.7866339156342774,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,4.823178482239304,coupling,0.7943350394458597,0.7475025311550259,0.7943350394458597,1.0.0
