target_id,schedule_id,execution_horizon_seconds,measurement_domain,event_book,response_book,impact_type,child_index,elapsed_from_start_seconds,scheduled_cumulative_quantity,mean_signed_log_mid_impact,standard_error,normal_95_lower,normal_95_upper,active_observation_fraction,paths,sides_per_path,software_version
S8-META-01,slow,60.0,calendar,0,1,cross,0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,0,1,cross,1,20.0,0.1,0.009594567396677427,0.0015296333691023802,0.006596485993236762,0.012592648800118091,0.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,0,1,cross,2,40.0,0.15000000000000002,0.026544548049715948,0.004071354747842944,0.018564692743943775,0.03452440335548812,0.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,0,1,cross,3,60.0,0.2,0.047948641735417796,0.0025469456033293076,0.04295662835289235,0.05294065511794324,0.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,1,0,cross,0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,1,0,cross,1,20.0,0.1,0.015105368549595398,1.9692160886627124e-05,0.015066771914257608,0.015143965184933187,1.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,1,0,cross,2,40.0,0.15000000000000002,0.034258637372848254,1.7861196164435682e-05,0.03422362942836596,0.03429364531733055,1.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,1,0,cross,3,60.0,0.2,0.05406404829988523,8.098622848791973e-06,0.0540481749991016,0.054079921600668865,1.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,0,cross,0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,0,cross,1,20.0,0.1,0.009594567396677427,0.0015296333691023805,0.006596485993236761,0.012592648800118093,0.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,0,cross,2,40.0,0.15000000000000002,0.026544548049715948,0.004071354747842944,0.018564692743943775,0.03452440335548812,0.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,0,cross,3,60.0,0.2,0.0479486417354178,0.0025469456033293076,0.04295662835289236,0.05294065511794325,0.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,1,1,own,0,0.0,0.05,0.14129133450634593,0.001709232850208884,0.13794123811993653,0.14464143089275533,1.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,1,1,own,1,20.0,0.1,0.19882687422782427,4.982277208121431e-05,0.1987292215945451,0.19892452686110346,1.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,1,1,own,2,40.0,0.15000000000000002,0.19938769319735278,6.09904356235567e-06,0.19937573907197056,0.199399647322735,1.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,1,1,own,3,60.0,0.2,0.19959909912002255,8.337858676470527e-07,0.19959746489972197,0.19960073334032313,1.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,1,own,0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,1,own,1,20.0,0.1,0.06785779207782544,0.008356566681438962,0.05147892138220508,0.0842366627734458,0.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,1,own,2,40.0,0.15000000000000002,0.07385422350781318,0.004353976266329637,0.06532043002580709,0.08238801698981926,0.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,1,own,3,60.0,0.2,0.10206829288001139,0.00948433184889658,0.0834790024561741,0.12065758330384868,0.0,8,2,1.8.2
