snapshot_index,operational_step,operational_time_model_units,time_seconds,grid_index,log_price_coordinate,book_1_density,book_2_density,book_1_boundary_log_price,book_2_boundary_log_price,initial_book_displacement,clock,software_version
0,0,0.0,0.0,46,-5.3999999999999995,1.2315416472958198,1.258668119602823,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,47,-5.3,1.2542217206235855,1.2806140150291712,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,48,-5.199999999999999,1.2762963811627768,1.301887700421151,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,49,-5.1,1.2977103010970996,1.322429832083571,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,50,-5.0,1.3184047985911724,1.3421777196143259,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,51,-4.8999999999999995,1.3383178403184184,1.36106536293943,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,52,-4.8,1.3573840724940578,1.3790235211148134,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,53,-4.699999999999999,1.375534883154107,1.3959798155062606,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,54,-4.6,1.3926984983190263,1.4118588697970242,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,55,-4.5,1.4088001145288276,1.426582489058199,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,56,-4.3999999999999995,1.4237620700324334,1.4400698798481881,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,57,-4.3,1.437504056655977,1.4522379129835663,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,58,-4.199999999999999,1.449943374061458,1.4630014302444616,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
