experiment,schedule_id,impact_type,measurement_domain,x_coordinate,x_value,mean_signed_log_mid_impact,standard_error,active_observation_fraction,software_version
meta_order_relaxation,fast,own,mittag_leffler_previous_refresh,post_completion_lag_seconds,120.0,0.055221771475533935,0.004458520060235259,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,mittag_leffler_previous_refresh,post_completion_lag_seconds,160.0,0.05598157551667748,0.006857587058542794,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,mittag_leffler_previous_refresh,post_completion_lag_seconds,200.0,0.05501117986573026,0.0068600810691325335,see_archive,2.1.0-r13
meta_order_trajectory,fast,own,tempered_mittag_leffler_previous_refresh,cumulative_quantity,0.05,0.0,0.0,see_archive,2.1.0-r13
meta_order_trajectory,fast,own,tempered_mittag_leffler_previous_refresh,cumulative_quantity,0.1,0.04409648750046687,0.012187479292127157,see_archive,2.1.0-r13
meta_order_trajectory,fast,own,tempered_mittag_leffler_previous_refresh,cumulative_quantity,0.15000000000000002,0.11420086882066097,0.02270665647043761,see_archive,2.1.0-r13
meta_order_trajectory,fast,own,tempered_mittag_leffler_previous_refresh,cumulative_quantity,0.2,0.15141172099763286,0.03250077737222296,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,tempered_mittag_leffler_previous_refresh,post_completion_lag_seconds,0.0,0.15141172099763286,0.03250077737222296,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,tempered_mittag_leffler_previous_refresh,post_completion_lag_seconds,5.0,0.175739401117661,0.02520810044809781,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,tempered_mittag_leffler_previous_refresh,post_completion_lag_seconds,10.0,0.16690496064059657,0.025949168500727506,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,tempered_mittag_leffler_previous_refresh,post_completion_lag_seconds,20.0,0.13825678721711904,0.013753973327981003,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,tempered_mittag_leffler_previous_refresh,post_completion_lag_seconds,40.0,0.1203643077836494,0.00884833135174702,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,tempered_mittag_leffler_previous_refresh,post_completion_lag_seconds,80.0,0.08479875128083085,0.011944789476037838,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,tempered_mittag_leffler_previous_refresh,post_completion_lag_seconds,120.0,0.07545726468593446,0.012443754538462784,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,tempered_mittag_leffler_previous_refresh,post_completion_lag_seconds,160.0,0.05170160582491368,0.00012619770505032537,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,tempered_mittag_leffler_previous_refresh,post_completion_lag_seconds,200.0,0.05067170436590444,0.00010605965699944473,see_archive,2.1.0-r13
meta_order_trajectory,slow,own,operational_gaussian,cumulative_quantity,0.05,0.14129133450634584,0.0016146135256408511,see_archive,2.1.0-r13
meta_order_trajectory,slow,own,operational_gaussian,cumulative_quantity,0.1,0.19882687422782433,2.830744265029332e-05,see_archive,2.1.0-r13
meta_order_trajectory,slow,own,operational_gaussian,cumulative_quantity,0.15000000000000002,0.19938769319735275,5.299952896993015e-06,see_archive,2.1.0-r13
meta_order_trajectory,slow,own,operational_gaussian,cumulative_quantity,0.2,0.19959909912002255,6.599331116992386e-07,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,operational_gaussian,post_completion_lag_seconds,0.0,0.19959909912002255,6.599331116992386e-07,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,operational_gaussian,post_completion_lag_seconds,5.0,0.1605532568191954,8.749659820041551e-06,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,operational_gaussian,post_completion_lag_seconds,10.0,0.13220220466174692,1.2649932860372196e-05,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,operational_gaussian,post_completion_lag_seconds,20.0,0.10192580984605769,2.64329812086222e-05,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,operational_gaussian,post_completion_lag_seconds,40.0,0.07422262012066988,1.944340977219214e-06,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,operational_gaussian,post_completion_lag_seconds,80.0,0.057091363147447796,1.0845747627411827e-06,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,operational_gaussian,post_completion_lag_seconds,120.0,0.052720924503487684,1.6423224803091767e-07,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,operational_gaussian,post_completion_lag_seconds,160.0,0.05113938336751841,2.4217455922440716e-07,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,operational_gaussian,post_completion_lag_seconds,200.0,0.05025126792282804,6.845928694166307e-08,see_archive,2.1.0-r13
meta_order_trajectory,slow,own,poisson_previous_refresh,cumulative_quantity,0.05,0.0,0.0,see_archive,2.1.0-r13
meta_order_trajectory,slow,own,poisson_previous_refresh,cumulative_quantity,0.1,0.06785779207782433,0.004784674915382001,see_archive,2.1.0-r13
meta_order_trajectory,slow,own,poisson_previous_refresh,cumulative_quantity,0.15000000000000002,0.0738542235078127,0.004017669341589405,see_archive,2.1.0-r13
meta_order_trajectory,slow,own,poisson_previous_refresh,cumulative_quantity,0.2,0.10206829288001029,0.008188169423655104,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,poisson_previous_refresh,post_completion_lag_seconds,0.0,0.10206829288001029,0.008188169423655104,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,poisson_previous_refresh,post_completion_lag_seconds,5.0,0.15854513705379042,0.005854944238902029,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,poisson_previous_refresh,post_completion_lag_seconds,10.0,0.1485978306430945,0.005141060908875111,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,poisson_previous_refresh,post_completion_lag_seconds,20.0,0.12671062776166925,0.005794944485906062,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,poisson_previous_refresh,post_completion_lag_seconds,40.0,0.09109645224416288,0.0070418178983831965,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,poisson_previous_refresh,post_completion_lag_seconds,80.0,0.06016951630027031,0.0006971675449815097,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,poisson_previous_refresh,post_completion_lag_seconds,120.0,0.05462251763629285,0.0009051187010504414,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,poisson_previous_refresh,post_completion_lag_seconds,160.0,0.051596537778538856,0.00011967239438773044,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,poisson_previous_refresh,post_completion_lag_seconds,200.0,0.05029861040359093,8.468757847090357e-06,see_archive,2.1.0-r13
meta_order_trajectory,slow,own,mittag_leffler_previous_refresh,cumulative_quantity,0.05,0.0,0.0,see_archive,2.1.0-r13
meta_order_trajectory,slow,own,mittag_leffler_previous_refresh,cumulative_quantity,0.1,0.038486653301059444,0.005607456787084215,see_archive,2.1.0-r13
meta_order_trajectory,slow,own,mittag_leffler_previous_refresh,cumulative_quantity,0.15000000000000002,0.0679172427022443,0.0076723400954715896,see_archive,2.1.0-r13
meta_order_trajectory,slow,own,mittag_leffler_previous_refresh,cumulative_quantity,0.2,0.0877593894575743,0.010010993882974769,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,mittag_leffler_previous_refresh,post_completion_lag_seconds,0.0,0.0877593894575743,0.010010993882974769,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,mittag_leffler_previous_refresh,post_completion_lag_seconds,5.0,0.10533557795049463,0.01660211104156608,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,mittag_leffler_previous_refresh,post_completion_lag_seconds,10.0,0.11072709735237853,0.0157783873240872,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,mittag_leffler_previous_refresh,post_completion_lag_seconds,20.0,0.09564568301437257,0.013201800969912475,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,mittag_leffler_previous_refresh,post_completion_lag_seconds,40.0,0.07795167266367803,0.011873936900305282,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,mittag_leffler_previous_refresh,post_completion_lag_seconds,80.0,0.06378315787702427,0.009660021855493398,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,mittag_leffler_previous_refresh,post_completion_lag_seconds,120.0,0.061405070611762216,0.009251921633128376,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,mittag_leffler_previous_refresh,post_completion_lag_seconds,160.0,0.05939357626630947,0.009347910986925416,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,mittag_leffler_previous_refresh,post_completion_lag_seconds,200.0,0.05878043418320207,0.009323964062424278,see_archive,2.1.0-r13
meta_order_trajectory,slow,own,tempered_mittag_leffler_previous_refresh,cumulative_quantity,0.05,0.0,0.0,see_archive,2.1.0-r13
meta_order_trajectory,slow,own,tempered_mittag_leffler_previous_refresh,cumulative_quantity,0.1,0.04896142789049127,0.0062906299644034,see_archive,2.1.0-r13
meta_order_trajectory,slow,own,tempered_mittag_leffler_previous_refresh,cumulative_quantity,0.15000000000000002,0.0844647995977855,0.008506054330339439,see_archive,2.1.0-r13
meta_order_trajectory,slow,own,tempered_mittag_leffler_previous_refresh,cumulative_quantity,0.2,0.10273801792005041,0.00936129374088517,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,tempered_mittag_leffler_previous_refresh,post_completion_lag_seconds,0.0,0.10273801792005041,0.00936129374088517,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,tempered_mittag_leffler_previous_refresh,post_completion_lag_seconds,5.0,0.14554274366658607,0.014053308680001417,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,tempered_mittag_leffler_previous_refresh,post_completion_lag_seconds,10.0,0.14385946826985196,0.013611850498983488,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,tempered_mittag_leffler_previous_refresh,post_completion_lag_seconds,20.0,0.1323881398813747,0.006791354262743064,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,tempered_mittag_leffler_previous_refresh,post_completion_lag_seconds,40.0,0.09790723164483202,0.008310669810106298,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,tempered_mittag_leffler_previous_refresh,post_completion_lag_seconds,80.0,0.07164855309704261,0.0051500458517339314,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,tempered_mittag_leffler_previous_refresh,post_completion_lag_seconds,120.0,0.05337322799196926,8.906550632679613e-05,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,tempered_mittag_leffler_previous_refresh,post_completion_lag_seconds,160.0,0.051879061244590116,0.00019226216654761035,see_archive,2.1.0-r13
meta_order_relaxation,slow,own,tempered_mittag_leffler_previous_refresh,post_completion_lag_seconds,200.0,0.05073558781575081,0.00022202758177633774,see_archive,2.1.0-r13
meta_order_trajectory,fast,cross,operational_gaussian,cumulative_quantity,0.05,0.0,0.0,see_archive,2.1.0-r13
meta_order_trajectory,fast,cross,operational_gaussian,cumulative_quantity,0.1,0.006466888634904316,1.6773947979047387e-05,see_archive,2.1.0-r13
meta_order_trajectory,fast,cross,operational_gaussian,cumulative_quantity,0.15000000000000002,0.01691868646497341,1.679323209291509e-05,see_archive,2.1.0-r13
meta_order_trajectory,fast,cross,operational_gaussian,cumulative_quantity,0.2,0.030545246803578764,5.762833295025863e-06,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,operational_gaussian,post_completion_lag_seconds,0.0,0.030545246803578764,5.762833295025863e-06,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,operational_gaussian,post_completion_lag_seconds,5.0,0.045767101338204996,2.0373373290231225e-05,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,operational_gaussian,post_completion_lag_seconds,10.0,0.05563934571822634,2.082993615633164e-05,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,operational_gaussian,post_completion_lag_seconds,20.0,0.06744532129920919,2.149485853007007e-05,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,operational_gaussian,post_completion_lag_seconds,40.0,0.07599376756155943,1.4825462894320068e-05,see_archive,2.1.0-r13
