target_id,measurement_domain,lag_index,lag_seconds,mean_increment_autocorrelation,standard_error,normal_95_lower,normal_95_upper,effective_pairs_per_book_member,paths,books_per_path,level_autocorrelation_included,software_version
S8-DEPEND-01,calendar_previous_refresh,8,40.0,-0.07235670879398776,0.01881593183328081,-0.10923593518721814,-0.03547748240075737,101,8,2,False,1.8.3
S8-DEPEND-01,calendar_previous_refresh,9,45.0,-0.016346214811375378,0.01508160748165546,-0.04590616547542008,0.013213735852669325,100,8,2,False,1.8.3
S8-DEPEND-01,calendar_previous_refresh,10,50.0,0.0023057449827565413,0.01722693795049016,-0.03145905340020417,0.03607054336571725,99,8,2,False,1.8.3
S8-DEPEND-01,calendar_previous_refresh,11,55.0,0.01880425500026818,0.01638776179110531,-0.013315758110298226,0.050924268110834586,98,8,2,False,1.8.3
S8-DEPEND-01,calendar_previous_refresh,12,60.0,0.05157443220166479,0.020112546463723503,0.012153841132766727,0.09099502327056286,97,8,2,False,1.8.3
S8-DEPEND-01,calendar_previous_refresh,13,65.0,-0.04010694904292192,0.02223228812886428,-0.08368223377549591,0.0034683356896520676,96,8,2,False,1.8.3
S8-DEPEND-01,calendar_previous_refresh,14,70.0,0.006431252737594295,0.020041545542849912,-0.03285017652639153,0.04571268200158012,95,8,2,False,1.8.3
S8-DEPEND-01,calendar_previous_refresh,15,75.0,-0.04075430193783001,0.018604496901363184,-0.07721911586450185,-0.004289488011158166,94,8,2,False,1.8.3
S8-DEPEND-01,calendar_previous_refresh,16,80.0,0.03103852883038427,0.020838770062655807,-0.009805460492421113,0.07188251815318966,93,8,2,False,1.8.3
S8-DEPEND-01,calendar_previous_refresh,17,85.0,-0.0019258528463694342,0.014268876591240225,-0.029892850965200276,0.026041145272461406,92,8,2,False,1.8.3
S8-DEPEND-01,calendar_previous_refresh,18,90.0,-0.0009361186101577027,0.013424061336188065,-0.027247278829086306,0.025375041608770903,91,8,2,False,1.8.3
S8-DEPEND-01,calendar_previous_refresh,19,95.0,0.01339295207305176,0.012881894298935893,-0.011855560752862591,0.03864146489896611,90,8,2,False,1.8.3
