event_id,path_index,book_index,same_book_event_index,operational_step,operational_time_seconds,event_type,quantity,filled_quantity,ground_truth_aggressor_sign,quote_midpoint_sign,legacy_tick_rule_sign,pre_event_mid_log_price,execution_log_price_proxy,affected_grid_indices,software_version
v183-p00-b2-e004,0,1,3,371,185.5,market_order,0.015,0.015,1,1,1,0.04204706953040061,0.17328235348153942,"[101, 102]",1.8.3
v183-p00-b2-e005,0,1,4,391,195.5,market_order,0.015,0.015,1,1,1,0.055182264673303096,0.1908863323064306,"[101, 102, 103]",1.8.3
v183-p00-b2-e006,0,1,5,411,205.5,market_order,0.015,0.015,1,1,1,0.0699505740793793,0.21182729873850625,"[101, 102, 103]",1.8.3
v183-p00-b2-e007,0,1,6,431,215.5,market_order,0.015,0.015,1,1,1,0.08019471683128947,0.22627386500312882,"[101, 102, 103]",1.8.3
v183-p00-b2-e008,0,1,7,451,225.5,market_order,0.015,0.015,1,1,1,0.0916942210863376,0.2422522969775406,"[101, 102, 103]",1.8.3
v183-p00-b2-e009,0,1,8,471,235.5,market_order,0.015,0.015,1,1,1,0.10050488769109807,0.25393971301753027,"[102, 103]",1.8.3
v183-p00-b2-e010,0,1,9,491,245.5,market_order,0.015,0.015,-1,-1,-1,0.10492717688355183,-0.048880031465502315,"[101, 100, 99]",1.8.3
v183-p00-b2-e011,0,1,10,511,255.5,market_order,0.015,0.015,-1,-1,-1,0.06709105513482891,-0.0698446972479652,"[100, 99]",1.8.3
v183-p00-b2-e012,0,1,11,531,265.5,market_order,0.015,0.015,1,1,1,0.03640495206089684,0.1714312109970135,"[101, 102]",1.8.3
v183-p00-b2-e013,0,1,12,551,275.5,market_order,0.015,0.015,1,1,1,0.05936521587712502,0.19914774871412594,"[101, 102, 103]",1.8.3
v183-p00-b2-e014,0,1,13,571,285.5,market_order,0.015,0.015,1,1,1,0.07234999635906245,0.2165648215635041,"[101, 102, 103]",1.8.3
v183-p00-b2-e015,0,1,14,591,295.5,market_order,0.015,0.015,1,1,1,0.0917648457324663,0.24295318586250722,"[101, 102, 103]",1.8.3
v183-p00-b2-e016,0,1,15,611,305.5,market_order,0.015,0.015,1,1,1,0.0991685869298908,0.252995121036224,"[101, 102, 103]",1.8.3
v183-p00-b2-e017,0,1,16,631,315.5,market_order,0.015,0.015,-1,-1,-1,0.0991441615803502,-0.056229601451470816,"[100, 99]",1.8.3
v183-p00-b2-e018,0,1,17,651,325.5,market_order,0.015,0.015,-1,-1,-1,0.05391008658456054,-0.08283520909154252,"[100, 99, 98]",1.8.3
v183-p00-b2-e019,0,1,18,671,335.5,market_order,0.015,0.015,-1,-1,-1,0.024549872666360863,-0.12168070428242463,"[100, 99, 98]",1.8.3
v183-p00-b2-e020,0,1,19,691,345.5,market_order,0.015,0.015,-1,-1,-1,0.00990328929148765,-0.1413321260752251,"[100, 99, 98]",1.8.3
v183-p00-b2-e021,0,1,20,711,355.5,market_order,0.015,0.015,-1,-1,-1,-0.00026957949553241267,-0.15472823864381344,"[99, 98]",1.8.3
v183-p00-b2-e022,0,1,21,731,365.5,market_order,0.015,0.015,-1,-1,-1,-0.008706798349945144,-0.1586703022489406,"[99, 98]",1.8.3
v183-p00-b2-e023,0,1,22,751,375.5,market_order,0.015,0.015,-1,-1,-1,-0.024919704761310793,-0.16616127237124234,"[99, 98]",1.8.3
v183-p00-b2-e024,0,1,23,771,385.5,market_order,0.015,0.015,-1,-1,-1,-0.03233324100418243,-0.1695121010604912,"[99, 98]",1.8.3
v183-p00-b2-e025,0,1,24,791,395.5,market_order,0.015,0.015,1,1,1,-0.04670501852009326,0.09372587339063883,"[100, 101, 102]",1.8.3
v183-p00-b2-e026,0,1,25,811,405.5,market_order,0.015,0.015,-1,-1,-1,-0.012372950667029842,-0.16087770398750476,"[99, 98]",1.8.3
v183-p00-b2-e027,0,1,26,831,415.5,market_order,0.015,0.015,-1,-1,-1,-0.03813389380365876,-0.17229012585247566,"[99, 98]",1.8.3
v183-p00-b2-e028,0,1,27,851,425.5,market_order,0.015,0.015,-1,-1,-1,-0.043663631253505204,-0.17758028768655332,"[99, 98, 97]",1.8.3
v183-p00-b2-e029,0,1,28,871,435.5,market_order,0.015,0.015,-1,-1,-1,-0.05607144115935114,-0.19444338015622797,"[99, 98, 97]",1.8.3
v183-p00-b2-e030,0,1,29,891,445.5,market_order,0.015,0.015,-1,-1,-1,-0.07004802931366862,-0.2136107398656671,"[99, 98, 97]",1.8.3
v183-p00-b2-e031,0,1,30,911,455.5,market_order,0.015,0.015,-1,-1,-1,-0.08408030394366249,-0.23276788423347,"[99, 98, 97]",1.8.3
v183-p00-b2-e032,0,1,31,931,465.5,market_order,0.015,0.015,1,1,1,-0.09473027877183036,0.058284236515286164,"[100, 101]",1.8.3
v183-p00-b2-e033,0,1,32,951,475.5,market_order,0.015,0.015,1,1,1,-0.0570355448165383,0.0791652516222622,"[100, 101, 102]",1.8.3
v183-p00-b2-e034,0,1,33,971,485.5,market_order,0.015,0.015,1,1,1,-0.03303392068449515,0.11059763287559124,"[100, 101, 102]",1.8.3
v183-p00-b2-e035,0,1,34,991,495.5,market_order,0.015,0.015,1,1,1,-0.019452912193450245,0.12872340608873914,"[100, 101, 102]",1.8.3
v183-p00-b2-e036,0,1,35,1011,505.5,market_order,0.015,0.015,1,1,1,-0.012484553479033086,0.13803737990716244,"[100, 101, 102]",1.8.3
v183-p00-b2-e037,0,1,36,1031,515.5,market_order,0.015,0.015,1,1,1,-0.011733391764653697,0.1390138764809341,"[100, 101, 102]",1.8.3
v183-p00-b2-e038,0,1,37,1051,525.5,market_order,0.015,0.015,1,1,1,-0.006013958604822192,0.1466329561350416,"[100, 101, 102]",1.8.3
v183-p00-b2-e039,0,1,38,1071,535.5,market_order,0.015,0.015,1,1,-1,-0.01706235141855171,0.13180558877907772,"[100, 101, 102]",1.8.3
v183-p00-b2-e040,0,1,39,1091,545.5,market_order,0.015,0.015,1,1,1,-0.013322891721095464,0.1367462633591502,"[100, 101, 102]",1.8.3
v183-p00-b2-e041,0,1,40,1111,555.5,market_order,0.015,0.015,1,1,-1,-0.01502007571314666,0.13443880882041567,"[100, 101, 102]",1.8.3
v183-p00-b2-e042,0,1,41,1131,565.5,market_order,0.015,0.015,1,1,1,0.0007452972243829634,0.1548649270372763,"[101, 102]",1.8.3
v183-p00-b2-e043,0,1,42,1151,575.5,market_order,0.015,0.015,-1,-1,-1,0.010269853462068507,-0.14253825208954027,"[100, 99, 98]",1.8.3
v183-p00-b2-e044,0,1,43,1171,585.5,market_order,0.015,0.015,-1,-1,-1,-0.020121561606483,-0.16458867102903676,"[99, 98]",1.8.3
v183-p00-b2-e045,0,1,44,1191,595.5,market_order,0.015,0.015,-1,-1,-1,-0.030217592381694053,-0.16893908880509748,"[99, 98]",1.8.3
v183-p00-b2-e046,0,1,45,1211,605.5,market_order,0.015,0.015,-1,-1,-1,-0.039940183953147884,-0.1738932766883141,"[99, 98, 97]",1.8.3
v183-p00-b2-e047,0,1,46,1231,615.5,market_order,0.015,0.015,-1,-1,-1,-0.04545679937747428,-0.18090855431882422,"[99, 98, 97]",1.8.3
v183-p00-b2-e048,0,1,47,1251,625.5,market_order,0.015,0.015,1,1,1,-0.046045019992288494,0.09490437932361147,"[100, 101, 102]",1.8.3
