figure_id,aggregation_scale,aggregation_unit,curve_type,mechanism,normalized_correlation,absolute_correlation,uncertainty,uncertainty_type,parameter_profile,software_version,scenario,clock_rate,response_rate,alpha_clock,alpha_response
F1,0.38311868495572887,clock characteristic time,analytic,coupling,0.4884094861547331,0.4884094861547331,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,0.3981071705534973,clock characteristic time,analytic,coupling,0.499777247968332,0.499777247968332,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,0.4136820402388507,clock characteristic time,analytic,coupling,0.5111849728329314,0.5111849728329314,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,0.42986623470822766,clock characteristic time,analytic,coupling,0.5226200915346796,0.5226200915346796,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,0.44668359215096304,clock characteristic time,analytic,coupling,0.5340696841350255,0.5340696841350255,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,0.46415888336127775,clock characteristic time,analytic,coupling,0.5455205305479418,0.5455205305479418,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,0.4823178482239304,clock characteristic time,analytic,coupling,0.5569591659739397,0.5569591659739397,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,0.5011872336272725,clock characteristic time,analytic,coupling,0.5683719409389765,0.5683719409389765,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,0.5207948328595465,clock characteristic time,analytic,coupling,0.5797450855993795,0.5797450855993795,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,0.5411695265464638,clock characteristic time,analytic,coupling,0.5910647778838777,0.5910647778838777,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,0.5623413251903491,clock characteristic time,analytic,coupling,0.6023172149523273,0.6023172149523273,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,0.5843414133735175,clock characteristic time,analytic,coupling,0.6134886873597503,0.6134886873597503,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,0.6072021956909883,clock characteristic time,analytic,coupling,0.6245656552259791,0.6245656552259791,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,0.630957344480193,clock characteristic time,analytic,coupling,0.6355348256279891,0.6355348256279891,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,0.6556418494179785,clock characteristic time,analytic,coupling,0.646383230356482,0.646383230356482,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,0.6812920690579615,clock characteristic time,analytic,coupling,0.6570983031131908,0.6570983031131908,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,0.707945784384138,clock characteristic time,analytic,coupling,0.6676679551734808,0.6676679551734808,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,0.7356422544596414,clock characteristic time,analytic,coupling,0.6780806485028787,0.6780806485028787,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,0.7644222742526002,clock characteristic time,analytic,coupling,0.6883254652987114,0.6883254652987114,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,0.7943282347242814,clock characteristic time,analytic,coupling,0.6983921729314486,0.6983921729314486,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
