figure_id,aggregation_scale,aggregation_unit,scenario,mechanism,sensitivity_parameter,local_elasticity,clock_rate,response_rate,software_version
F2,0.05843414133735175,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9807109075127282,1.0,0.25,1.0.0
F2,0.060720219569098836,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9799639238008038,1.0,0.25,1.0.0
F2,0.06309573444801933,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9791883240210942,1.0,0.25,1.0.0
F2,0.06556418494179789,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9783830368011525,1.0,0.25,1.0.0
F2,0.06812920690579612,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9775469526553984,1.0,0.25,1.0.0
F2,0.07079457843841377,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9766789227933896,1.0,0.25,1.0.0
F2,0.07356422544596414,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9757777579032394,1.0,0.25,1.0.0
F2,0.07644222742526002,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9748422269127424,1.0,0.25,1.0.0
F2,0.07943282347242814,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9738710557298477,1.0,0.25,1.0.0
F2,0.08254041852680186,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9728629259614626,1.0,0.25,1.0.0
F2,0.08576958985908942,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9718164736140739,1.0,0.25,1.0.0
F2,0.08912509381337455,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9707302877768262,1.0,0.25,1.0.0
F2,0.09261187281287933,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9696029092893393,1.0,0.25,1.0.0
F2,0.09623506263980887,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9684328293958263,1.0,0.25,1.0.0
F2,0.1,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9672184883885645,1.0,0.25,1.0.0
F2,0.10391223038351691,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9659582742429647,1.0,0.25,1.0.0
F2,0.10797751623277094,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9646505212474691,1.0,0.25,1.0.0
F2,0.1122018454301963,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9632935086317193,1.0,0.25,1.0.0
F2,0.11659144011798311,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9618854591967546,1.0,0.25,1.0.0
F2,0.12115276586285889,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9604245379511402,1.0,0.25,1.0.0
F2,0.12589254117941676,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9589088507584315,1.0,0.25,1.0.0
F2,0.13081774742601943,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9573364430002453,1.0,0.25,1.0.0
F2,0.13593563908785256,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.955705298261314,1.0,0.25,1.0.0
F2,0.1412537544622754,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9540133370425047,1.0,0.25,1.0.0
F2,0.1467799267622069,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9522584155086634,1.0,0.25,1.0.0
F2,0.15252229565390182,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9504383242789785,1.0,0.25,1.0.0
F2,0.1584893192461114,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9485507872679835,1.0,0.25,1.0.0
F2,0.1646897865482869,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.946593460586293,1.0,0.25,1.0.0
F2,0.1711328304161781,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9445639315107817,1.0,0.25,1.0.0
F2,0.1778279410038923,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9424597175352928,1.0,0.25,1.0.0
F2,0.18478497974222907,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9402782655128316,1.0,0.25,1.0.0
F2,0.1920141938638801,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9380169509026408,1.0,0.25,1.0.0
F2,0.19952623149688786,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.93567307713526,1.0,0.25,1.0.0
F2,0.2073321573485954,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9332438751106712,1.0,0.25,1.0.0
F2,0.21544346900318845,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.930726502845446,1.0,0.25,1.0.0
F2,0.223872113856834,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9281180452862368,1.0,0.25,1.0.0
F2,0.23263050671536262,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9254155143080444,1.0,0.25,1.0.0
