panel,lag_seconds,simulation,halfwidth_98,reduced_theory,conditional_reference
synchronous,120.0,0.6812652804941194,0.00629557506661484,0.6832623561226213,
synchronous,140.0,0.7216886722021715,0.005812660736112997,0.7229135381206624,
synchronous,160.0,0.7538456819816431,0.005434607839053663,0.7545789097221836,
synchronous,180.0,0.7798714171393937,0.005085562484841411,0.7802464436751649,
synchronous,200.0,0.8013355977946772,0.004709994312375679,0.8013475893998171,
synchronous,220.0,0.8187149095494761,0.004454094108788362,0.8189248675342662,
synchronous,240.0,0.8332625226779061,0.004232217517200874,0.8337464586961111,
synchronous,260.0,0.845910326444181,0.004001589234768252,0.8463851444912274,
synchronous,280.0,0.8567258013154224,0.003800304501876283,0.8572731259950792,
synchronous,300.0,0.8661122317105499,0.0036508660359795644,0.8667404112493531,
synchronous,320.0,0.8744875509438916,0.00349588639542346,0.8750419328284879,
synchronous,340.0,0.8818709362324315,0.003391190013235555,0.8823768786316483,
synchronous,360.0,0.8883638673823081,0.003306383690627605,0.8889026010893429,
synchronous,380.0,0.8943233043497835,0.003218341107013341,0.8947447212452513,
synchronous,400.0,0.8995800652601029,0.0031569623561347603,0.9000045399929762,
asynchronous,0.5,0.0053080165366246245,0.0007492312146165044,0.004999742810263133,0.005042662327675602
asynchronous,1.0,0.01003454087435271,0.0009545692407146936,0.009997967851554114,0.009990330420426762
asynchronous,2.0,0.019896109566580833,0.0013224480014880934,0.0199841383225716,0.01992098037315421
asynchronous,3.0,0.029599855048216554,0.0016523816838682603,0.029947756521259448,0.0298661507791095
asynchronous,5.0,0.04922083852905458,0.0022337168108219076,0.04976948076019628,0.04966012214032756
asynchronous,7.5,0.07353874086630373,0.0028836708337824043,0.07426640096040957,0.07412157371726669
asynchronous,10.0,0.09743562107277638,0.003482022003008476,0.09835804502656466,0.0981949362781453
asynchronous,15.0,0.14331532591957727,0.004439264367137498,0.14503927477661294,0.14484997654227408
asynchronous,20.0,0.18716904451641367,0.005180392259704169,0.1894208979457309,0.18923830277106338
asynchronous,40.0,0.3412855271675711,0.0067486605940599255,0.34209947660139295,0.3419322313537401
asynchronous,60.0,0.4587689202824024,0.007168533616610887,0.45864279441469835,0.45850892225933265
asynchronous,80.0,0.5470061782318797,0.007027401531268519,0.5471760222042943,0.5470560839201921
asynchronous,100.0,0.6142448198658528,0.006673123611690246,0.6150226300799985,0.6149172372054559
asynchronous,120.0,0.6665753133738808,0.006189537233281895,0.6677020346185052,0.6676029327606593
asynchronous,140.0,0.7085008032315635,0.005744751714145244,0.7092030081309508,0.7091161335634892
asynchronous,160.0,0.7420876440204006,0.0054392772373614015,0.7423841699014326,0.7423074950709198
asynchronous,180.0,0.7691404935087361,0.005135297963508506,0.769299910234139,0.7692302782384737
asynchronous,200.0,0.7914205168740542,0.004821980361335966,0.7914374286862679,0.7913789772742078
asynchronous,220.0,0.8097542733838345,0.004575857433766963,0.8098834950660084,0.8098294840608876
asynchronous,240.0,0.8253227129493613,0.004374903030559421,0.8254406670535248,0.8253866417160067
asynchronous,260.0,0.8384281548338027,0.004157512426230255,0.8387082566880654,0.8386600103719601
asynchronous,280.0,0.8496495817566768,0.00396976147303412,0.8501389534423686,0.8500951999573321
asynchronous,300.0,0.8594775667994181,0.0038211994245437465,0.8600786608881985,0.8600368234160661
asynchronous,320.0,0.8683293192018542,0.0036976809144195037,0.8687947283503871,0.8687552853505383
asynchronous,340.0,0.8762126936003752,0.0035902951700077746,0.8764961215208171,0.8764580863527132
asynchronous,360.0,0.8829830867749628,0.0035056783024508017,0.8833479596804844,0.8833117280565
asynchronous,380.0,0.889219567919997,0.0034268858543830038,0.8894820886265137,0.8894478185098194
asynchronous,400.0,0.894735555928489,0.0033637639996003774,0.8950048426591747,0.8949719535043221
