measurement_domain,path_index,book_index,stream_id,retained_waits,realised_mean_wait_seconds,realised_median_wait_seconds,realised_q95_wait_seconds,realised_max_wait_seconds,supported_horizon_seconds,software_version
tempered_mittag_leffler_previous_refresh,1,0,v21-stylised-tempered_mittag_leffler-p01-b1,269,10.412161320088051,5.141159436150027,39.76075390251127,160.79837256203248,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,1,1,v21-stylised-tempered_mittag_leffler-p01-b2,268,10.659922374004417,5.68740791254918,40.227015416844765,148.91629933086156,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,2,0,v21-stylised-tempered_mittag_leffler-p02-b1,341,8.345908331965179,4.0427502383948255,31.729602928642237,81.60266825863778,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,2,1,v21-stylised-tempered_mittag_leffler-p02-b2,302,9.298115828947605,4.9835945086629145,31.086209179861775,101.05492261335823,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,3,0,v21-stylised-tempered_mittag_leffler-p03-b1,289,9.702238678001475,4.9265729836452365,35.66513485935871,113.01523517079816,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,3,1,v21-stylised-tempered_mittag_leffler-p03-b2,272,10.31839614838838,5.564951168770081,38.139796669404,79.27386473591511,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,4,0,v21-stylised-tempered_mittag_leffler-p04-b1,240,11.685904724122489,5.117147281035649,38.14296361488218,592.2557311136075,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,4,1,v21-stylised-tempered_mittag_leffler-p04-b2,269,10.448709129466776,5.3785211910328945,31.020050379760836,151.59010320756755,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,5,0,v21-stylised-tempered_mittag_leffler-p05-b1,272,10.308721540546905,4.9202069604426075,33.70941364533023,149.38393571432934,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,5,1,v21-stylised-tempered_mittag_leffler-p05-b2,261,10.728370299862895,5.847490713866086,38.65736828606492,89.54391583516411,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,6,0,v21-stylised-tempered_mittag_leffler-p06-b1,328,8.594700175109805,4.23625177098994,29.986710830567738,109.35907353575794,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,6,1,v21-stylised-tempered_mittag_leffler-p06-b2,351,7.988724636542573,4.560787110751172,28.039502526854154,62.31719271509817,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,7,0,v21-stylised-tempered_mittag_leffler-p07-b1,291,10.09091135569237,3.8822264743999457,36.41334547448339,242.63541704699986,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,7,1,v21-stylised-tempered_mittag_leffler-p07-b2,257,10.935334996479163,5.294882005408528,36.56003619689044,163.13860296449556,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,8,0,v21-stylised-tempered_mittag_leffler-p08-b1,245,11.444700098717766,5.9042445559839365,37.08183773186136,91.76388424318381,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,8,1,v21-stylised-tempered_mittag_leffler-p08-b2,292,9.699354934386916,4.183080240991904,36.17971437776691,80.83558494578668,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,9,0,v21-stylised-tempered_mittag_leffler-p09-b1,289,9.708722931597798,4.279199712907957,37.421828374687614,92.74047245658153,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,9,1,v21-stylised-tempered_mittag_leffler-p09-b2,246,11.457167182683303,5.297695451339587,37.3971338657373,151.57406093649936,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,10,0,v21-stylised-tempered_mittag_leffler-p10-b1,232,12.211333645285462,6.004435096255705,42.432323946301175,191.92417506537893,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,10,1,v21-stylised-tempered_mittag_leffler-p10-b2,284,9.905549882920022,4.699609042432842,37.162363541970045,158.69944758753178,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,11,0,v21-stylised-tempered_mittag_leffler-p11-b1,259,10.83460027125,4.481668315732036,42.23503652691648,122.17406461285319,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,11,1,v21-stylised-tempered_mittag_leffler-p11-b2,271,10.401940415911813,4.601239875610688,37.40705121249651,149.06565173648983,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,12,0,v21-stylised-tempered_mittag_leffler-p12-b1,292,9.598016173981371,5.267939057195575,32.35957343524612,103.93737534486318,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,12,1,v21-stylised-tempered_mittag_leffler-p12-b2,323,8.813665778972123,4.894206777932425,33.26734121929786,85.76127579643932,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,13,0,v21-stylised-tempered_mittag_leffler-p13-b1,251,11.155680758214244,5.024043754386941,43.55470937671237,118.15755182772936,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,13,1,v21-stylised-tempered_mittag_leffler-p13-b2,273,10.591546849877481,4.047756350128056,36.578309005277426,186.7755870322175,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,14,0,v21-stylised-tempered_mittag_leffler-p14-b1,283,9.907772299599422,4.312686310927174,41.3537375519586,103.52143925832733,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,14,1,v21-stylised-tempered_mittag_leffler-p14-b2,264,10.771714601629311,5.212256210566042,37.992714542309244,108.69294313088044,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,15,0,v21-stylised-tempered_mittag_leffler-p15-b1,296,9.498640625978084,5.383549844127218,30.908717457097577,85.98281505587737,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,15,1,v21-stylised-tempered_mittag_leffler-p15-b2,294,9.69169825118516,4.711793311347799,33.87355475962426,104.53188352996865,2800.0,2.1.0
