figure_id,aggregation_scale,aggregation_unit,mechanism,varied_parameter,perturbation_factor,clock_rate,response_rate,coupling_strength,source_amplitude,source_width,front_slope_abs,normalized_correlation,software_version
F4,0.006556418494179785,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0016373149811794718,1.0.0
F4,0.006812920690579615,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0017012978231956133,1.0.0
F4,0.00707945784384138,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0017677780274991672,1.0.0
F4,0.007356422544596414,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.001836852835072289,1.0.0
F4,0.007644222742526002,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0019086232544421877,1.0.0
F4,0.007943282347242814,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.001983194206153449,1.0.0
F4,0.008254041852680182,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0020606746726609115,1.0.0
F4,0.008576958985908946,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0021411778538366066,1.0.0
F4,0.008912509381337459,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0022248213282900497,1.0.0
F4,0.009261187281287938,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0023117272207089368,1.0.0
F4,0.009623506263980888,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0024020223754297465,1.0.0
F4,0.01,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0024958385364626245,1.0.0
F4,0.01039122303835169,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.002593312534190373,1.0.0
