target_id,schedule_id,execution_horizon_seconds,measurement_domain,event_book,response_book,impact_type,post_completion_lag_seconds,mean_signed_log_mid_impact,standard_error,normal_95_lower,normal_95_upper,active_observation_fraction,paths,sides_per_path,software_version
S8-META-01,slow,60.0,operational,1,0,cross,120.0,0.06431340869312,1.490816276999049e-06,0.06431048669321708,0.06431633069302291,1.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,1,0,cross,160.0,0.059370721258999906,9.696344167415072e-07,0.05936882077554309,0.05937262174245672,1.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,1,0,cross,200.0,0.05592786906704191,7.535862167583464e-07,0.05592639203805706,0.05592934609602676,1.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,0,cross,0.0,0.0479486417354178,0.0025469456033293076,0.04295662835289236,0.05294065511794325,0.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,0,cross,5.0,0.055123913390607446,0.0017884543437514902,0.05161854287685452,0.05862928390436037,0.625,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,0,cross,10.0,0.059107392102542324,0.002343665779260396,0.05451380717519195,0.0637009770298927,0.75,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,0,cross,20.0,0.0687346747839165,0.0019053511847761933,0.06500018646175516,0.07246916310607783,1.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,0,cross,40.0,0.07395517765319104,0.0015881651317880986,0.07084237399488637,0.07706798131149571,1.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,0,cross,80.0,0.07268544884628014,0.0004981459302627442,0.07170908282296516,0.07366181486959512,1.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,0,cross,120.0,0.06682213832073103,0.001144224909675912,0.06457945749776624,0.06906481914369582,1.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,0,cross,160.0,0.06088505898656799,0.0006488732870173973,0.05961326734401389,0.062156850629122094,1.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,0,cross,200.0,0.05610885957420563,5.3446007898463e-05,0.05600410539872464,0.05621361374968662,1.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,1,1,own,0.0,0.19959909912002255,8.337858676470527e-07,0.19959746489972197,0.19960073334032313,1.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,1,1,own,5.0,0.16055325681919583,2.292600300417951e-05,0.16050832185330763,0.16059819178508403,1.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,1,1,own,10.0,0.1322022046617473,1.9953614960628993e-05,0.13216309557642447,0.13224131374707015,1.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,1,1,own,20.0,0.10192580984605801,3.082207681836926e-05,0.10186539857549401,0.101986221116622,1.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,1,1,own,40.0,0.07422262012067014,1.993586581101753e-06,0.07421871269097119,0.0742265275503691,1.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,1,1,own,80.0,0.057091363147448004,1.3656790391081254e-06,0.05708868641653135,0.05709403987836466,1.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,1,1,own,120.0,0.05272092450348792,4.248333514332028e-07,0.05272009183011911,0.05272175717685673,1.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,1,1,own,160.0,0.05113938336751863,5.665165168341978e-07,0.05113827299514564,0.05114049373989162,1.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,1,1,own,200.0,0.05025126792282825,5.538053854080703e-07,0.05025018246427285,0.050252353381383646,1.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,1,own,0.0,0.10206829288001139,0.00948433184889658,0.0834790024561741,0.12065758330384868,0.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,1,own,5.0,0.1585451370537912,0.015981144230595164,0.1272220943618247,0.1898681797457577,0.625,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,1,own,10.0,0.14859783064309523,0.011041574349912596,0.12695634491726654,0.17023931636892392,0.75,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,1,own,20.0,0.12671062776166955,0.01121378045762482,0.1047316180647249,0.1486896374586142,1.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,1,own,40.0,0.0910964522441631,0.009581849206466021,0.0723160277994897,0.1098768766888365,1.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,1,own,80.0,0.06016951630027048,0.0009527423089973437,0.058302141374635685,0.06203689122590528,1.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,1,own,120.0,0.05462251763629304,0.0012187171764247993,0.05223383197050044,0.057011203302085645,1.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,1,own,160.0,0.05159653777853908,0.00021046431143033976,0.051184027728135614,0.05200904782894254,1.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,1,1,own,200.0,0.05029861040359116,1.402241014546546e-05,0.05027112647970605,0.05032609432747627,1.0,8,2,1.8.2
