measurement_domain,observable,lag_index,lag_seconds,mean_autocorrelation,standard_error_across_paths,normal_95_lower,normal_95_upper,effective_pairs_per_book_member,software_version
previous_refresh_calendar,log_mid_increment,13,65.0,-0.008613130334696564,0.008969721698987404,-0.026193784864711876,0.008967524195318747,516,2.1.0
previous_refresh_calendar,log_mid_increment,14,70.0,-0.012010175227710185,0.006512217410391772,-0.024774121352078057,0.0007537708966576864,515,2.1.0
previous_refresh_calendar,log_mid_increment,15,75.0,0.0008686759648071551,0.006523657366649863,-0.011917692473826576,0.013655044403440886,514,2.1.0
previous_refresh_calendar,log_mid_increment,16,80.0,-0.00626772088966358,0.005264945226059171,-0.016587013532739555,0.004051571753412395,513,2.1.0
previous_refresh_calendar,log_mid_increment,17,85.0,-0.008277256724430386,0.006307759646708537,-0.02064046563197912,0.004085952183118347,512,2.1.0
previous_refresh_calendar,log_mid_increment,18,90.0,0.005427498598143005,0.009240282940467637,-0.012683455965173564,0.023538453161459576,511,2.1.0
previous_refresh_calendar,log_mid_increment,19,95.0,-0.004145637862780583,0.008544054538343093,-0.020891984757933045,0.012600709032371878,510,2.1.0
previous_refresh_calendar,log_mid_increment,20,100.0,-0.00020320535195498916,0.004669006350327464,-0.009354457798596819,0.00894804709468684,509,2.1.0
previous_refresh_calendar,log_mid_increment,21,105.0,-0.0018486363569152017,0.008862291139499956,-0.019218726990335118,0.015521454276504714,508,2.1.0
previous_refresh_calendar,log_mid_increment,22,110.0,-0.010988040243078001,0.005430572813884411,-0.021631962958291447,-0.00034411752786455557,507,2.1.0
previous_refresh_calendar,log_mid_increment,23,115.0,-0.024940381035090775,0.007867009018724908,-0.040359718711791594,-0.009521043358389955,506,2.1.0
previous_refresh_calendar,log_mid_increment,24,120.0,-0.0007426699496609658,0.00782889516662791,-0.016087304476251667,0.014601964576929737,505,2.1.0
previous_refresh_calendar,log_mid_increment,25,125.0,-0.021002641731448363,0.007119594697061742,-0.034957047337689374,-0.007048236125207349,504,2.1.0
previous_refresh_calendar,log_mid_increment,26,130.0,0.0009982363953642403,0.007759566034559412,-0.014210513032372205,0.016206985823100685,503,2.1.0
previous_refresh_calendar,log_mid_increment,27,135.0,0.0009324281478069281,0.007161574325941,-0.013104257531037434,0.014969113826651288,502,2.1.0
previous_refresh_calendar,log_mid_increment,28,140.0,-0.01987190193129637,0.005084484117269179,-0.02983749080114396,-0.00990631306144878,501,2.1.0
previous_refresh_calendar,log_mid_increment,29,145.0,0.004748024903375619,0.00579351092641707,-0.006607256512401837,0.016103306319153077,500,2.1.0
previous_refresh_calendar,log_mid_increment,30,150.0,0.003459774342458248,0.007243805358539316,-0.010738084160278811,0.01765763284519531,499,2.1.0
previous_refresh_calendar,log_mid_increment,31,155.0,0.0030515623229580876,0.005467396169463433,-0.007664534169190241,0.013767658815106417,498,2.1.0
previous_refresh_calendar,log_mid_increment,32,160.0,0.004303708047144505,0.006848126802281959,-0.009118620485328134,0.017726036579617147,497,2.1.0
previous_refresh_calendar,log_mid_increment,33,165.0,-0.003958515903633121,0.00965553645525576,-0.02288336735593441,0.014966335548668169,496,2.1.0
previous_refresh_calendar,log_mid_increment,34,170.0,0.00039755708046410043,0.008967508452017416,-0.017178759485490035,0.017973873646418236,495,2.1.0
previous_refresh_calendar,log_mid_increment,35,175.0,-0.005930838445458802,0.00862792386856459,-0.022841569227845398,0.010979892336927793,494,2.1.0
previous_refresh_calendar,log_mid_increment,36,180.0,-0.003994559491614385,0.006182199659363242,-0.01611167082396634,0.00812255184073757,493,2.1.0
previous_refresh_calendar,log_mid_increment,37,185.0,-0.012042155100999336,0.0064188735339192286,-0.024623147227481025,0.000538837025482351,492,2.1.0
previous_refresh_calendar,log_mid_increment,38,190.0,0.005345893725623134,0.007642565016131715,-0.009633533705995028,0.020325321157241297,491,2.1.0
previous_refresh_calendar,log_mid_increment,39,195.0,1.8262539130575912e-06,0.009496988529482251,-0.018612271263872153,0.018615923771698267,490,2.1.0
previous_refresh_calendar,log_mid_increment,40,200.0,0.0039260139765836645,0.00917952441419147,-0.01406585387523162,0.021917881828398947,489,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,0,0.0,1.0,0.0,1.0,1.0,529,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,1,5.0,-0.10353074090239621,0.004921320635704519,-0.11317652934837706,-0.09388495245641536,528,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,2,10.0,-0.05393567868074446,0.006010463184004792,-0.06571618652139385,-0.04215517084009507,527,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,3,15.0,-0.024579601612788927,0.0074784305479240675,-0.0392373254867201,-0.009921877738857755,526,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,4,20.0,-0.024714330684233222,0.009538560996435205,-0.04340991023724622,-0.0060187511312202215,525,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,5,25.0,-0.010303745055640724,0.0073219416102163325,-0.024654750611664736,0.004047260500383287,524,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,6,30.0,0.013820997873530187,0.007737937493198124,-0.0013453596131381366,0.02898735536019851,523,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,7,35.0,-0.005352654805802657,0.00871255616076265,-0.02242926488089745,0.011723955269292137,522,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,8,40.0,-0.004687744115057272,0.005962330241049515,-0.01637391138751432,0.006998423157399777,521,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,9,45.0,0.0032241200299211663,0.00892019894341948,-0.014259469899181015,0.020707709959023348,520,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,10,50.0,-0.010567612266293904,0.004679645579768425,-0.019739717602640018,-0.0013955069299477919,519,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,11,55.0,0.005548785794077151,0.010921604943348893,-0.01585755989488668,0.026955131483040982,518,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,12,60.0,-0.009999343344152867,0.009135953052496183,-0.027905811327045386,0.007907124638739653,517,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,13,65.0,0.0035175963787808496,0.006056769602402099,-0.008353672041927263,0.015388864799488963,516,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,14,70.0,0.01072870356699596,0.0068607736560398905,-0.002718412798842225,0.024175819932834144,515,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,15,75.0,-0.012570221486839481,0.008316525911053975,-0.028870612272505272,0.0037301692988263094,514,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,16,80.0,-0.0068940245100284295,0.006797675164688936,-0.020217467832818744,0.006429418812761885,513,2.1.0
