target_id,lag_seconds,analytical_clock_factor,accepted_clock_thick_boundary,analytical_coupling_factor,accepted_corrected_coupling,analytical_leading_order_product,accepted_component_product,accepted_component_product_standard_error,reduced_exact_conditional_covariance,reduced_simulated_covariance,reduced_covariance_standard_error,reduced_covariance_residual_standard_error,reduced_exact_conditional_correlation,reduced_simulated_correlation,reduced_correlation_residual_standard_error,thick_exact_reduced_same_clock_covariance,thick_simulated_combined_covariance,thick_covariance_standard_error,thick_covariance_residual_standard_error,thick_exact_reduced_same_clock_correlation,thick_simulated_combined_correlation,thick_correlation_residual_standard_error,exact_reduced_minus_product,thick_minus_exact_reduced,thick_minus_accepted_component_product,thick_minus_analytical_product,equal_book_clock_rate_per_second,coupling_rate_per_second,frozen_covariance_scale,subordination,fit_policy,software_version
CNF-CMB-LOB-01,220.0,0.954545454558134,0.9782884759715678,0.8189248675342662,0.8048652748690125,0.7817010099294558,0.7873904231140432,0.09108602839403604,0.8098204731052222,0.7974951842791246,0.02283732968315463,0.02284686475488911,0.6857095543869319,0.6853698121578105,0.006731160065563234,0.8099360458532668,0.8370290761548629,0.08366411499094183,0.08364846912143634,0.6859315301006617,0.6999388548332139,0.023814248086769015,0.028119463175766413,0.027093030301596044,0.049638653040819714,0.05532806622540709,0.1,0.025,1.0568450226140758e-06,previous_refresh_then_previous_uniform_state,no_component_or_combined_refit,1.7.11
CNF-CMB-LOB-01,240.0,0.9583333333349063,0.9878325575322661,0.8337464586961111,0.8153403150418823,0.799007022918418,0.8054197086669862,0.09632359499490849,0.8253863277867344,0.8120168625414186,0.023766442124138396,0.023775256266981907,0.7077559702551823,0.7065420999741809,0.006339700237954872,0.8254899383926406,0.8582360845813233,0.08800189672239422,0.08798281387530749,0.7079601043499997,0.724274473671959,0.02295249330606934,0.02637930486831641,0.03274614618868266,0.05281637591433708,0.059229061662905313,0.1,0.025,1.0568450226140758e-06,previous_refresh_then_previous_uniform_state,no_component_or_combined_refit,1.7.11
CNF-CMB-LOB-01,260.0,0.9615384615386581,0.9953584352224427,0.8463851444912274,0.8252463003165664,0.8138318697032696,0.8214158661562075,0.10166674516704019,0.8386571311036873,0.8252666465454022,0.024933779291570455,0.02494072066605387,0.7270067149671661,0.7254082676235452,0.006114420886282287,0.8387838716223845,0.8771723351123718,0.0917568090146109,0.0917322015875775,0.7272082102734819,0.7449939102452038,0.02185255979534453,0.024825261400417742,0.03838846348998726,0.05575646895616426,0.06334046540910221,0.1,0.025,1.0568450226140758e-06,previous_refresh_then_previous_uniform_state,no_component_or_combined_refit,1.7.11
CNF-CMB-LOB-01,280.0,0.964285714285739,1.003306484021188,0.8572731259950792,0.8361442820377186,0.8266562286381333,0.8389089797456841,0.10674803593240707,0.850089822914454,0.8372559066176342,0.026330360425307366,0.026335941478145226,0.7439342536345984,0.7424438679041941,0.006139337396936666,0.8502473324336433,0.8950587526564623,0.09495697593427971,0.09493545125468028,0.7441329608703529,0.7621310966589878,0.020746902223618222,0.023433594276320746,0.04481142022281903,0.05614977291077816,0.06840252401832903,0.1,0.025,1.0568450226140758e-06,previous_refresh_then_previous_uniform_state,no_component_or_combined_refit,1.7.11
CNF-CMB-LOB-01,300.0,0.9666666666666698,1.010125692532379,0.8667404112493531,0.8468971036079455,0.8378490642077107,0.8554725232856418,0.11210408425458528,0.860027843964036,0.8491969842399174,0.027754408055788878,0.027759088448315903,0.758918502861184,0.7584708494527732,0.006220430138776836,0.8601478997811203,0.9128723462535181,0.09763196589049344,0.09760771194527648,0.7591029658436861,0.7772064887465736,0.019832550432064115,0.022178779756325318,0.05272444647239782,0.05739982296787627,0.07502328204580744,0.1,0.025,1.0568450226140758e-06,previous_refresh_then_previous_uniform_state,no_component_or_combined_refit,1.7.11
CNF-CMB-LOB-01,320.0,0.9687500000000004,1.0152213614527648,0.8750419328284879,0.8559370410190793,0.847696872427598,0.8689655681012406,0.11720380538601584,0.8687509147341101,0.8596433144737735,0.02904494700934709,0.029049402722435034,0.7722688996395425,0.77232755269691,0.006221960150475067,0.8688981331471797,0.9279561687185713,0.09925258482306035,0.09923091944827175,0.7724544363496231,0.7907446245449944,0.018641117266640722,0.0210540423065122,0.059058035571391665,0.058990600617330746,0.08025929629097339,0.1,0.025,1.0568450226140758e-06,previous_refresh_then_previous_uniform_state,no_component_or_combined_refit,1.7.11
CNF-CMB-LOB-01,340.0,0.9705882352941178,1.0195597629596915,0.8823768786316483,0.8635967103310491,0.8564246174954234,0.8804884572778938,0.12185035788185822,0.8764589169284684,0.8688163680770481,0.030129821595892198,0.03013382279788312,0.7842303865451987,0.7847545165196771,0.006152455391155988,0.8766001204771867,0.9415991977264543,0.10030730386205809,0.10029397952255378,0.7844090835438051,0.8027162972348502,0.01770267543574177,0.020034299433045022,0.06499907724926757,0.06111074044856046,0.08517458023103086,0.1,0.025,1.0568450226140758e-06,previous_refresh_then_previous_uniform_state,no_component_or_combined_refit,1.7.11
CNF-CMB-LOB-01,360.0,0.9722222222222222,1.0234274971609054,0.8889026010893429,0.8705773376044804,0.8642108621701945,0.890972785709558,0.12618211456191514,0.8833110422603471,0.8763931573129097,0.031141597797372092,0.031145334750966234,0.7950038853655845,0.7955345320021565,0.006104490408903512,0.8834361656047515,0.952938656350019,0.10121681556842228,0.10120950403757646,0.7951780026287442,0.8141169443494352,0.016871163963712077,0.019100180090152574,0.06950249074526749,0.061965870640460996,0.08872779417982446,0.1,0.025,1.0568450226140758e-06,previous_refresh_then_previous_uniform_state,no_component_or_combined_refit,1.7.11
CNF-CMB-LOB-01,380.0,0.9736842105263158,1.0254724298446942,0.8947447212452513,0.8757856297641299,0.8711988075282711,0.898094017777288,0.13033597460581117,0.8894456883916756,0.882836489409042,0.032222268356705525,0.03222578996573029,0.8047572668171215,0.804982613597265,0.0060943905198020416,0.8895337032335001,0.9603183618625905,0.10155943882954212,0.10155231738357604,0.8049148970566382,0.8229429807463269,0.01592949690060243,0.018246880863404535,0.07078465862909034,0.06222434408530242,0.0891195543343194,0.1,0.025,1.0568450226140758e-06,previous_refresh_then_previous_uniform_state,no_component_or_combined_refit,1.7.11
CNF-CMB-LOB-01,400.0,0.975,1.027805483588241,0.9000045399929762,0.8797669558114595,0.8775044264931519,0.9042293014627518,0.13456232039168586,0.8949675742915224,0.8890261909108347,0.03343525001752969,0.033438346704064516,0.8136267338677451,0.8141142122339241,0.0061297284852380235,0.8950311550135633,0.9639582073706751,0.10182511309399785,0.10182470632717257,0.8137692552744701,0.8312184567549652,0.015227233997481576,0.01746314779837055,0.06892705235711172,0.059728905907923235,0.0864537808775232,0.1,0.025,1.0568450226140758e-06,previous_refresh_then_previous_uniform_state,no_component_or_combined_refit,1.7.11
