measurement_domain,bin_index,standardized_return_lower,standardized_return_upper,standardized_return_centre,estimated_density,fixed_standard_normal_density,sample_count,unstandardized_sample_mean,unstandardized_sample_standard_deviation,reference_status,software_version
operational,37,4.829268292682926,5.121951219512194,4.97560975609756,0.0,1.6790460458255499e-06,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,38,5.121951219512194,5.414634146341463,5.268292682926829,0.0,3.749802684995578e-07,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,39,5.414634146341463,5.7073170731707314,5.560975609756097,0.0,7.686898180437272e-08,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,40,5.7073170731707314,6.0,5.853658536585366,0.0,1.4464077651965064e-08,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,0,-6.0,-5.7073170731707314,-5.853658536585366,0.0,1.4464077651965064e-08,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,1,-5.7073170731707314,-5.414634146341464,-5.560975609756097,0.0,7.686898180437272e-08,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,2,-5.414634146341464,-5.121951219512195,-5.2682926829268295,0.0,3.7498026849955574e-07,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,3,-5.121951219512195,-4.829268292682927,-4.975609756097561,0.001959097859327215,1.6790460458255437e-06,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,4,-4.829268292682927,-4.536585365853659,-4.682926829268293,0.0,6.901026582570289e-06,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,5,-4.536585365853659,-4.2439024390243905,-4.390243902439025,0.001959097859327215,2.6035246726877082e-05,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,6,-4.2439024390243905,-3.951219512195122,-4.097560975609756,0.0,9.015848357637832e-05,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,7,-3.951219512195122,-3.658536585365854,-3.8048780487804876,0.011754587155963293,0.00028658166572969457,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,8,-3.658536585365854,-3.3658536585365857,-3.51219512195122,0.00783639143730886,0.0008361556144345638,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,9,-3.3658536585365857,-3.073170731707317,-3.2195121951219514,0.01567278287461772,0.0022393538367318257,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,10,-3.073170731707317,-2.780487804878049,-2.926829268292683,0.013713685015290508,0.0055049735360724284,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,11,-2.780487804878049,-2.487804878048781,-2.634146341463415,0.023509174311926586,0.012421803454681104,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,12,-2.487804878048781,-2.1951219512195124,-2.3414634146341466,0.027427370030581016,0.02572829308850558,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,13,-2.1951219512195124,-1.9024390243902438,-2.048780487804878,0.04701834862385317,0.04891411485503702,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
