target_id,measurement_domain,event_book,response_book,impact_type,lag_seconds,mean_signed_log_mid_impact,standard_error,normal_95_lower,normal_95_upper,mean_impact_per_unit_quantity,active_observation_fraction,paths,sides_per_path,event_quantity,software_version
S8-IMPACT-01,operational,0,1,cross,5.0,0.006550213984347844,1.7452559932175392e-05,0.00651600696688078,0.006584421001814908,0.13100427968695685,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,0,1,cross,10.0,0.010500887502466905,2.1707876336100885e-05,0.010458340064848148,0.010543434940085663,0.2100177500493381,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,0,1,cross,20.0,0.015196769313715094,2.3272127154494633e-05,0.015151155944492284,0.015242382682937905,0.3039353862743019,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,0,1,cross,40.0,0.018887093657735086,1.9093320712660417e-05,0.01884967074913827,0.0189245165663319,0.3777418731547017,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,0,1,cross,80.0,0.01896228139368263,1.0801110372576762e-05,0.01894111121735238,0.01898345157001288,0.37924562787365257,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,0,1,cross,120.0,0.017193215989197704,6.426793537468438e-06,0.017180619473864265,0.017205812504531143,0.34386431978395404,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,0,1,cross,160.0,0.01564671401648132,4.319414207456042e-06,0.015638247964634706,0.01565518006832793,0.31293428032962634,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,0,1,cross,200.0,0.014539483789818512,3.5198971630497136e-06,0.014532584791378934,0.014546382788258089,0.2907896757963702,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,0,1,cross,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,0,1,cross,0.5,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,0,1,cross,1.0,0.00011451943246786457,0.00011451943246786457,-0.00010993865516914999,0.00033897752010487916,0.0022903886493572914,0.125,8,2,0.05,1.8.1
