target_id,sign_convention,calendar_lag_index,calendar_lag_seconds,mean_signed_flow_autocorrelation,standard_error,normal_95_lower,normal_95_upper,effective_pairs_per_book_member,bin_seconds,paths,books_per_path,software_version
S8-DEPEND-01,legacy_tick_rule,7,35.0,0.007168487518693896,0.02593599163065606,-0.04366605607739198,0.05800303111477977,102,5.0,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,8,40.0,-0.02170118964802429,0.0136996302247525,-0.04855246488853919,0.005150085592490611,101,5.0,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,9,45.0,0.011830366754591481,0.017229816837343356,-0.021940074246601493,0.045600807755784456,100,5.0,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,10,50.0,-0.013914291887793638,0.026631363464082052,-0.06611176427739446,0.03828318050180718,99,5.0,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,11,55.0,0.03241978955148225,0.021794537895649464,-0.010297504723990693,0.07513708382695519,98,5.0,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,12,60.0,0.02308231680346034,0.010943434786210302,0.0016331846224881472,0.04453144898443253,97,5.0,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,13,65.0,-0.03567636464696394,0.02794512339875774,-0.09044880650852911,0.01909607721460123,96,5.0,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,14,70.0,-0.02282810896739482,0.025113093904862365,-0.07204977302092505,0.026393555086135414,95,5.0,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,15,75.0,-0.014544876076034514,0.04027524256134649,-0.09348435149627364,0.06439459934420462,94,5.0,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,16,80.0,-0.03027605034467151,0.026216775738262563,-0.08166093079166613,0.021108830102323114,93,5.0,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,17,85.0,-0.041910783556566814,0.02799079776970527,-0.09677274718518913,0.012951180072055514,92,5.0,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,18,90.0,-0.03613730304504115,0.026219846415476804,-0.08752820201937568,0.015253595929293387,91,5.0,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,19,95.0,-0.036539928927142,0.0313859699975514,-0.09805643012234275,0.024976572268058744,90,5.0,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,20,100.0,-0.08513064287501512,0.021198117930569232,-0.1266789540189308,-0.043582331731099426,89,5.0,8,2,1.8.3
