target_id,sign_convention,event_lag,mean_sign_autocorrelation,standard_error,normal_95_lower,normal_95_upper,effective_pairs_per_book_member,paths,books_per_path,software_version
S8-DEPEND-01,quote_midpoint,2,0.17288899300857208,0.043163510804165466,0.08828851183240777,0.2574894741847364,46,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,3,0.0331221785395181,0.05191153189857654,-0.06862442398169193,0.13486878106072814,45,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,4,-0.04489963979760639,0.030595255298999778,-0.10486634018364596,0.015067060588433177,44,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,5,0.03330293577588367,0.03682537816475641,-0.03887480542703889,0.10548067697880623,43,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,6,0.034166399626867155,0.05103609409316376,-0.0658643447957338,0.13419714404946811,42,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,7,-0.009883837678192363,0.0372534071152366,-0.08290051562405609,0.06313284026767138,41,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,8,-0.07947728402140355,0.027472965456809693,-0.13332429631675055,-0.025630271726056558,40,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,9,-0.08532766388752346,0.03237800855994937,-0.14878856066502422,-0.021866767110022695,39,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,10,-0.22581983928997276,0.0233984293322948,-0.27168076078127057,-0.17995891779867496,38,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,11,-0.1825332599991659,0.016060415681845984,-0.21401167473558402,-0.15105484526274776,37,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,12,-0.20371375819134394,0.021443657481727784,-0.2457433268555304,-0.16168418952715746,36,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,0,1.0,0.0,1.0,1.0,48,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,1,0.36674021190253175,0.028779128930708418,0.3103331191983433,0.42314730460672023,47,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,2,0.14120345986887262,0.03582280470356119,0.0709907626498927,0.21141615708785255,46,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,3,-0.005288897144594088,0.04100424571535825,-0.08565721874669627,0.07507942445750809,45,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,4,-0.06328427401276437,0.030002730546898684,-0.1220896258846858,-0.004478922140842952,44,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,5,0.013914417889277074,0.024617905981740254,-0.034336677834933826,0.062165513613487974,43,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,6,0.053133654667578994,0.03228974628351382,-0.010154248048108092,0.11642155738326608,42,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,7,0.008714290067375185,0.014623422269832329,-0.01994761758149618,0.03737619771624655,41,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,8,-0.09909887556966238,0.015265690586399717,-0.12901962911900583,-0.06917812202031894,40,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,9,-0.15933609739069027,0.04006850753720016,-0.23787037216360257,-0.08080182261777795,39,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,10,-0.23142415527382174,0.04466216610026654,-0.31896200083034415,-0.14388630971729932,38,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,11,-0.20493712636852535,0.02661455501993095,-0.25710165420759,-0.15277259852946068,37,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,12,-0.19664433357450736,0.017370945263875004,-0.23069138629170238,-0.16259728085731234,36,8,2,1.8.3
