measurement_domain,object,index,x,y,reference_x,reference_y,sample_count,software_version
previous_refresh_calendar,qq,22,-0.14792748112033569,0.0005628966740548725,-0.14792748112033569,-0.14792748112033569,16928,2.1.0
previous_refresh_calendar,qq,23,-0.09841848125872729,0.0005628966740548725,-0.09841848125872729,-0.09841848125872729,16928,2.1.0
previous_refresh_calendar,qq,24,-0.049149695440031595,0.0005628966740548725,-0.049149695440031595,-0.049149695440031595,16928,2.1.0
previous_refresh_calendar,qq,25,0.0,0.0005628966740548725,0.0,0.0,16928,2.1.0
previous_refresh_calendar,qq,26,0.049149695440031456,0.0005628966740548725,0.049149695440031456,0.049149695440031456,16928,2.1.0
previous_refresh_calendar,qq,27,0.09841848125872729,0.0005628966740548725,0.09841848125872729,0.09841848125872729,16928,2.1.0
previous_refresh_calendar,qq,28,0.14792748112033555,0.0005628966740548725,0.14792748112033555,0.14792748112033555,16928,2.1.0
previous_refresh_calendar,qq,29,0.1978019761213284,0.0005628966740548725,0.1978019761213284,0.1978019761213284,16928,2.1.0
previous_refresh_calendar,qq,30,0.24817371845931258,0.0005628966740548725,0.24817371845931258,0.24817371845931258,16928,2.1.0
previous_refresh_calendar,qq,31,0.2991835499893134,0.0005628966740548725,0.2991835499893134,0.2991835499893134,16928,2.1.0
previous_refresh_calendar,qq,32,0.3509844690820791,0.0005628966740548725,0.3509844690820791,0.3509844690820791,16928,2.1.0
previous_refresh_calendar,qq,33,0.40374533291536413,0.0005628966740548725,0.40374533291536413,0.40374533291536413,16928,2.1.0
previous_refresh_calendar,qq,34,0.4576554489294859,0.0005628966740548725,0.4576554489294859,0.4576554489294859,16928,2.1.0
previous_refresh_calendar,qq,35,0.5129304106147282,0.0005628966740548725,0.5129304106147282,0.5129304106147282,16928,2.1.0
previous_refresh_calendar,qq,36,0.5698196890956568,0.0005628966740548725,0.5698196890956568,0.5698196890956568,16928,2.1.0
previous_refresh_calendar,qq,37,0.628616737437878,0.0005628966740548725,0.628616737437878,0.628616737437878,16928,2.1.0
previous_refresh_calendar,qq,38,0.6896727596991077,0.0005628966740548725,0.6896727596991077,0.6896727596991077,16928,2.1.0
