tier,target_id,lag_seconds,exact_equal_rate_curve,old_pooled_rate_envelope,normalized_simulation,jackknife_standard_error,normal_95_lower,normal_95_upper,realized_exact_overlap,identity_reference_correlation,equal_book_rate_per_second,pooled_minimum_wait_rate_per_second,subordination,estimator,software_version
reduced_reference,CNF-CLK-REF-01,140.0,0.928571487966337,0.964285714285739,0.9253175242436525,0.008596221821030398,0.9084689294744329,0.9421661190128722,0.9286152956281948,0.8,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
thick_boundary,CNF-CLK-LOB-01,140.0,0.928571487966337,0.964285714285739,0.9236748966784867,0.034348674856834134,0.8563514939590918,0.9909982993978815,0.9293163443839912,0.7719166016674119,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
reduced_reference,CNF-CLK-REF-01,160.0,0.9375000070334484,0.9687500000000004,0.9348736555318433,0.009155888883392254,0.9169281133203945,0.9528191977432922,0.9375374741302789,0.8,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
thick_boundary,CNF-CLK-LOB-01,160.0,0.9375000070334484,0.9687500000000004,0.9411548064234014,0.0379678436165405,0.8667378329349821,1.015571779911821,0.9381341163988702,0.7649402374243275,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
reduced_reference,CNF-CLK-REF-01,180.0,0.9444444452905544,0.9722222222222222,0.9422047307201283,0.009730398777049554,0.9231331491171112,0.9612763123231455,0.944477638152632,0.8,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
thick_boundary,CNF-CLK-LOB-01,180.0,0.9444444452905544,0.9722222222222222,0.9536355444489524,0.04194055754961916,0.8714320516516988,1.0358390372462059,0.9450426854047752,0.7600095781815408,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
reduced_reference,CNF-CLK-REF-01,200.0,0.9500000001030576,0.975,0.9468325215653165,0.010196807895239373,0.9268467780906473,0.9668182650399857,0.9500338530707226,0.8,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
thick_boundary,CNF-CLK-LOB-01,200.0,0.9500000001030576,0.975,0.9656615829843361,0.04615828954050425,0.8751913354849478,1.0561318304837244,0.9505318086449146,0.7551072381388708,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
reduced_reference,CNF-CLK-REF-01,220.0,0.954545454558134,0.9772727272727273,0.9503813628637858,0.010675513643985638,0.929457356121574,0.9713053696059977,0.9545818086662007,0.8,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
thick_boundary,CNF-CLK-LOB-01,220.0,0.954545454558134,0.9772727272727273,0.9782884759715678,0.050589663308102495,0.8791327358876868,1.0774442160554487,0.9550259052881348,0.7493346187993789,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
reduced_reference,CNF-CLK-REF-01,240.0,0.9583333333349063,0.9791666666666666,0.9533254335509307,0.011214886610956482,0.931344255793456,0.9753066113084053,0.9583593179846032,0.8,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
thick_boundary,CNF-CLK-LOB-01,240.0,0.9583333333349063,0.9791666666666666,0.9878325575322661,0.05464127443156679,0.8807356596463951,1.094929455418137,0.958749564029598,0.7442399966501556,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
reduced_reference,CNF-CLK-REF-01,260.0,0.9615384615386581,0.9807692307692307,0.9557388947308267,0.011787003080204016,0.9326363686936269,0.9788414207680266,0.9615615766766443,0.8,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
thick_boundary,CNF-CLK-LOB-01,260.0,0.9615384615386581,0.9807692307692307,0.9953584352224427,0.05852963483837224,0.8806403509392331,1.1100765195056523,0.961929945873812,0.7405591090110863,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
reduced_reference,CNF-CLK-REF-01,280.0,0.964285714285739,0.9821428571428571,0.9571412113936241,0.01239571814350655,0.9328456038323513,0.9814368189548969,0.9643066159236137,0.8,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
thick_boundary,CNF-CLK-LOB-01,280.0,0.964285714285739,0.9821428571428571,1.003306484021188,0.06216108760445947,0.8814707523164474,1.1251422157259285,0.9646621780021619,0.7372365120476297,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
reduced_reference,CNF-CLK-REF-01,300.0,0.9666666666666698,0.9833333333333333,0.9581364671944831,0.012841724143960655,0.9329666878723202,0.983306246516646,0.966680284650137,0.8,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
thick_boundary,CNF-CLK-LOB-01,300.0,0.9666666666666698,0.9833333333333333,1.010125692532379,0.06560070449036118,0.881548311731271,1.1387030733334869,0.9670069433433546,0.735296068715509,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
reduced_reference,CNF-CLK-REF-01,320.0,0.9687500000000004,0.984375,0.9592629665086745,0.013204456334191785,0.9333822320936586,0.9851437009236904,0.968764851725108,0.8,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
thick_boundary,CNF-CLK-LOB-01,320.0,0.9687500000000004,0.984375,1.0152213614527648,0.06880443008734835,0.880364678481562,1.1500780444239675,0.9690584140467815,0.7347381795258915,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
reduced_reference,CNF-CLK-REF-01,340.0,0.9705882352941178,0.9852941176470589,0.9605776244052342,0.013499901973992265,0.9341178165362094,0.987037432274259,0.970601088147236,0.8,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
thick_boundary,CNF-CLK-LOB-01,340.0,0.9705882352941178,0.9852941176470589,1.0195597629596915,0.07220605411109426,0.8780358969019468,1.1610836290174362,0.9708751587249161,0.7349699002981165,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
reduced_reference,CNF-CLK-REF-01,360.0,0.9722222222222222,0.9861111111111112,0.9617963192598724,0.013790438014482804,0.9347670607514861,0.9888255777682587,0.9722337638022468,0.8,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
thick_boundary,CNF-CLK-LOB-01,360.0,0.9722222222222222,0.9861111111111112,1.0234274971609054,0.07490982748953762,0.8766042352814116,1.1702507590403992,0.9724914468466097,0.7365717025562026,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
reduced_reference,CNF-CLK-REF-01,380.0,0.9736842105263158,0.9868421052631579,0.962421316659462,0.014183841716213475,0.9346209868956835,0.9902216464232404,0.9736908278661546,0.8,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
thick_boundary,CNF-CLK-LOB-01,380.0,0.9736842105263158,0.9868421052631579,1.0254724298446942,0.07740844548445454,0.8737518766951633,1.1771929829942251,0.9739363776744342,0.7386840145878073,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
reduced_reference,CNF-CLK-REF-01,400.0,0.975,0.9875,0.9627121575223524,0.014640019526992856,0.9340177192494464,0.9914065957952584,0.9750015030198598,0.8,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
thick_boundary,CNF-CLK-LOB-01,400.0,0.975,0.9875,1.027805483588241,0.08053707632835046,0.8699528139846742,1.185658153191808,0.9752266390084829,0.7405241926421208,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
