meta_order_id,schedule_id,path_index,event_book,side,child_index,operational_step,operational_time_seconds,quantity,cumulative_quantity,filled_quantity,pre_event_mid_log_price,execution_log_price_proxy,affected_grid_indices,applied_density_mass,software_version
v182-fast-p02-b2-s-1,fast,2,1,-1,3,331,165.5,0.05,0.2,0.05,-0.1996296246378854,-0.48026457555943913,"[98, 97, 96, 95, 94]",0.05,1.8.2
v182-fast-p02-b2-s+1,fast,2,1,1,0,301,150.5,0.05,0.05,0.05,-0.0042684374757623045,0.250191545965394,"[100, 101, 102, 103, 104]",0.05,1.8.2
v182-fast-p02-b2-s+1,fast,2,1,1,1,311,155.5,0.05,0.1,0.05,0.08076324169311982,0.3478679056196654,"[101, 102, 103, 104, 105]",0.05,1.8.2
v182-fast-p02-b2-s+1,fast,2,1,1,2,321,160.5,0.05,0.15000000000000002,0.05,0.1439511078883216,0.4152402447818874,"[102, 103, 104, 105]",0.05,1.8.2
v182-fast-p02-b2-s+1,fast,2,1,1,3,331,165.5,0.05,0.2,0.05,0.20278107047251803,0.48358805917164005,"[103, 104, 105, 106]",0.05,1.8.2
v182-slow-p02-b1-s-1,slow,2,0,-1,0,301,150.5,0.05,0.05,0.05,-0.010037942177284223,-0.26494893811917397,"[99, 98, 97, 96]",0.05,1.8.2
v182-slow-p02-b1-s-1,slow,2,0,-1,1,341,170.5,0.05,0.1,0.05,-0.060293794106322574,-0.3115401278792715,"[99, 98, 97, 96]",0.05,1.8.2
v182-slow-p02-b1-s-1,slow,2,0,-1,2,381,190.5,0.05,0.15000000000000002,0.05,-0.08365647157025771,-0.33945567433337875,"[99, 98, 97, 96, 95]",0.05000000000000001,1.8.2
v182-slow-p02-b1-s-1,slow,2,0,-1,3,421,210.5,0.05,0.2,0.05,-0.09241814692015543,-0.3525525609703929,"[99, 98, 97, 96, 95]",0.05,1.8.2
v182-slow-p02-b1-s+1,slow,2,0,1,0,301,150.5,0.05,0.05,0.05,-0.010037942177284223,0.24191125250075196,"[100, 101, 102, 103, 104]",0.05,1.8.2
v182-slow-p02-b1-s+1,slow,2,0,1,1,341,170.5,0.05,0.1,0.05,0.023925024667616125,0.2807901472809928,"[101, 102, 103, 104]",0.05,1.8.2
v182-slow-p02-b1-s+1,slow,2,0,1,2,381,190.5,0.05,0.15000000000000002,0.05,0.05180563656588831,0.30574147667992446,"[101, 102, 103, 104]",0.05,1.8.2
v182-slow-p02-b1-s+1,slow,2,0,1,3,421,210.5,0.05,0.2,0.05,0.0814375677577562,0.33758912457990053,"[101, 102, 103, 104, 105]",0.05,1.8.2
v182-slow-p02-b2-s-1,slow,2,1,-1,0,301,150.5,0.05,0.05,0.05,-0.0042684374757623045,-0.25998718033077534,"[99, 98, 97, 96]",0.05,1.8.2
v182-slow-p02-b2-s-1,slow,2,1,-1,1,341,170.5,0.05,0.1,0.05,-0.03998191208929673,-0.2944960435873851,"[99, 98, 97, 96]",0.05000000000000001,1.8.2
v182-slow-p02-b2-s-1,slow,2,1,-1,2,381,190.5,0.05,0.15000000000000002,0.05,-0.056727302782597286,-0.3098025429489486,"[99, 98, 97, 96]",0.05,1.8.2
v182-slow-p02-b2-s-1,slow,2,1,-1,3,421,210.5,0.05,0.2,0.05,-0.07843138385450693,-0.3334336856185585,"[99, 98, 97, 96, 95]",0.05,1.8.2
v182-slow-p02-b2-s+1,slow,2,1,1,0,301,150.5,0.05,0.05,0.05,-0.0042684374757623045,0.250191545965394,"[100, 101, 102, 103, 104]",0.05,1.8.2
v182-slow-p02-b2-s+1,slow,2,1,1,1,341,170.5,0.05,0.1,0.05,0.04414197468234053,0.2979789591244467,"[101, 102, 103, 104]",0.05,1.8.2
v182-slow-p02-b2-s+1,slow,2,1,1,2,381,190.5,0.05,0.15000000000000002,0.05,0.07872565884338219,0.33276392991084314,"[101, 102, 103, 104, 105]",0.05,1.8.2
v182-slow-p02-b2-s+1,slow,2,1,1,3,421,210.5,0.05,0.2,0.05,0.09556965313719887,0.35679561529352266,"[101, 102, 103, 104, 105]",0.05,1.8.2
v182-fast-p03-b1-s-1,fast,3,0,-1,0,301,150.5,0.05,0.05,0.05,0.0019455735267252536,-0.25352421666472624,"[100, 99, 98, 97, 96]",0.05,1.8.2
v182-fast-p03-b1-s-1,fast,3,0,-1,1,311,155.5,0.05,0.1,0.05,-0.08431773881417265,-0.3526660709688864,"[99, 98, 97, 96, 95]",0.05,1.8.2
v182-fast-p03-b1-s-1,fast,3,0,-1,2,321,160.5,0.05,0.15000000000000002,0.05,-0.14229458306462295,-0.4141503411152867,"[98, 97, 96, 95]",0.05,1.8.2
v182-fast-p03-b1-s-1,fast,3,0,-1,3,331,165.5,0.05,0.2,0.05,-0.1967646595003965,-0.4774213397282012,"[98, 97, 96, 95, 94]",0.05,1.8.2
v182-fast-p03-b1-s+1,fast,3,0,1,0,301,150.5,0.05,0.05,0.05,0.0019455735267252536,0.2579890289131134,"[101, 102, 103, 104]",0.05,1.8.2
v182-fast-p03-b1-s+1,fast,3,0,1,1,311,155.5,0.05,0.1,0.05,0.08554834421510694,0.3543010093125441,"[101, 102, 103, 104, 105]",0.05,1.8.2
v182-fast-p03-b1-s+1,fast,3,0,1,2,321,160.5,0.05,0.15000000000000002,0.05,0.15217258004133669,0.42173195626171844,"[102, 103, 104, 105]",0.05,1.8.2
